"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-max-sheep-number-hybrid"
"02/11/2026 18:45:26:301 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"41","0","50","1.5","Surround + Drive","10000","7.107999999999999","4785","4846","-1","-1","-2017949937","0","Target","8","1.5","4","3","15","60","1","50","0"
"47","0","50","2","Surround + Drive","10000","6.85125","4346","-1","-1","-1","1327621183","0","Target","8","2","4","3","15","60","1","50","0"
"43","0","50","1.5","Surround + Drive","10000","23","1543","1589","3082","3085","1779917306","0","Target","8","1.5","4","3","15","60","1","50","0"
"44","0","50","1.5","Surround + Drive","10000","9.96075","2870","3803","-1","-1","1534047145","0","Target","8","1.5","4","3","15","60","1","50","0"
"46","0","50","2","Surround + Drive","10000","5.4095","7959","8077","-1","-1","632386726","0","Target","8","2","4","3","15","60","1","50","0"
"48","0","50","2","Surround + Drive","10000","4.65075","1250","-1","-1","-1","1001726488","0","Target","8","2","4","3","15","60","1","50","0"
"49","0","50","2","Surround + Drive","10000","10.2175","775","871","-1","-1","2130216870","0","Target","8","2","4","3","15","60","1","50","0"
"50","0","50","2","Surround + Drive","10000","6.938749999999999","9036","9079","9214","9216","-2114013048","0","Target","8","2","4","3","15","60","1","50","0"
"55","0","50","2.5","Surround + Drive","10000","1.9505","4537","-1","-1","-1","-333624468","0","Target","8","2.5","4","3","15","60","1","50","0"
"51","0","50","2.5","Surround + Drive","10000","13.062","7049","7983","-1","-1","1322085057","0","Target","8","2.5","4","3","15","60","1","50","0"
"53","0","50","2.5","Surround + Drive","10000","9.65425","2727","-1","-1","-1","-1483229722","0","Target","8","2.5","4","3","15","60","1","50","0"
"54","0","50","2.5","Surround + Drive","10000","14.573500000000001","2838","3359","3865","3871","-1486191820","0","Target","8","2.5","4","3","15","60","1","50","0"
"52","0","50","2.5","Surround + Drive","10000","9.36025","8393","8413","8435","-1","-1604698655","0","Target","8","2.5","4","3","15","60","1","50","0"
"56","0","50","3","Surround + Drive","10000","4.645","968","-1","-1","-1","1793227502","0","Target","8","3","4","3","15","60","1","50","0"
"57","0","50","3","Surround + Drive","10000","22.237","5214","6624","6778","6781","-1515541733","0","Target","8","3","4","3","15","60","1","50","0"
"58","0","50","3","Surround + Drive","10000","14.89325","1286","7935","7971","7973","163988310","0","Target","8","3","4","3","15","60","1","50","0"
"59","0","50","3","Surround + Drive","10000","13.5995","1161","2441","2586","3625","-1691141019","0","Target","8","3","4","3","15","60","1","50","0"
"60","0","50","3","Surround + Drive","10000","22.3315","2326","2688","3098","3099","1158834088","0","Target","8","3","4","3","15","60","1","50","0"
"61","0","50","3.5","Surround + Drive","10000","19.4415","989","7298","7652","7660","-1707582288","0","Target","8","3.5","4","3","15","60","1","50","0"
"62","0","50","3.5","Surround + Drive","10000","9.66675","6960","9591","9781","9782","-290752415","0","Target","8","3.5","4","3","15","60","1","50","0"
"65","0","50","3.5","Surround + Drive","10000","2.9315","6848","-1","-1","-1","-544405847","0","Target","8","3.5","4","3","15","60","1","50","0"
"64","0","50","3.5","Surround + Drive","10000","12.513","3736","8366","8382","-1","1598160984","0","Target","8","3.5","4","3","15","60","1","50","0"
"63","0","50","3.5","Surround + Drive","10000","22.0465","3215","5055","5069","7844","-64911673","0","Target","8","3.5","4","3","15","60","1","50","0"
"67","0","50","4","Surround + Drive","10000","8.3795","1808","1976","2038","3461","-742395291","0","Target","8","4","4","3","15","60","1","50","0"
"68","0","50","4","Surround + Drive","10000","28.10675","5855","6144","6187","6187","1855844135","0","Target","8","4","4","3","15","60","1","50","0"
"66","0","50","4","Surround + Drive","10000","19.48525","1010","7019","7665","9308","-463107904","0","Target","8","4","4","3","15","60","1","50","0"
"69","0","50","4","Surround + Drive","10000","19.107","5684","5711","5757","5761","-1652454973","0","Target","8","4","4","3","15","60","1","50","0"
"70","0","50","4","Surround + Drive","10000","14.631","3840","6285","9676","9686","-428743060","0","Target","8","4","4","3","15","60","1","50","0"
"71","0","100","1","Surround + Drive","10000","30.935249999999996","7107","7383","7413","7415","-702845864","0","Target","8","1","4","3","15","60","1","50","0"
"72","0","100","1","Surround + Drive","10000","3.6418749999999998","8560","-1","-1","-1","1535065012","0","Target","8","1","4","3","15","60","1","50","0"
"75","0","100","1","Surround + Drive","10000","5.264625","1240","-1","-1","-1","1467852717","0","Target","8","1","4","3","15","60","1","50","0"
"76","0","100","1.5","Surround + Drive","10000","2.283375","-1","-1","-1","-1","1284578474","0","Target","8","1.5","4","3","15","60","1","50","0"
"80","0","100","1.5","Surround + Drive","10000","12.277875","5933","-1","-1","-1","-1898566218","0","Target","8","1.5","4","3","15","60","1","50","0"
"78","0","100","1.5","Surround + Drive","10000","10.60375","2217","-1","-1","-1","1130390903","0","Target","8","1.5","4","3","15","60","1","50","0"
"73","0","100","1","Surround + Drive","10000","17.855375","2656","3622","-1","-1","-720126010","0","Target","8","1","4","3","15","60","1","50","0"
"74","0","100","1","Surround + Drive","10000","31.247625","2070","2789","3552","3566","531738646","0","Target","8","1","4","3","15","60","1","50","0"
"77","0","100","1.5","Surround + Drive","10000","16.29625","885","4636","4660","-1","356848243","0","Target","8","1.5","4","3","15","60","1","50","0"
"79","0","100","1.5","Surround + Drive","10000","0.5845","-1","-1","-1","-1","-514341982","0","Target","8","1.5","4","3","15","60","1","50","0"
"82","0","100","2","Surround + Drive","10000","20.099125","5049","-1","-1","-1","-617954636","0","Target","8","2","4","3","15","60","1","50","0"
"81","0","100","2","Surround + Drive","10000","39.625","792","2439","4773","4780","-1881309813","0","Target","8","2","4","3","15","60","1","50","0"
