"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-max-sheep-number-surround"
"02/11/2026 18:47:47:298 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"45","0","50","1.5","Surround","10000","20.1835","3417","-1","-1","-1","-847537404","0","Target","8","1.5","4","3","15","60","1","50","0"
"47","0","50","2","Surround","10000","3.1879999999999997","9342","-1","-1","-1","-1575384587","0","Target","8","2","4","3","15","60","1","50","0"
"48","0","50","2","Surround","10000","16.999","1926","7623","7630","7632","-342725014","0","Target","8","2","4","3","15","60","1","50","0"
"52","0","50","2.5","Surround","10000","6.1405","5208","-1","-1","-1","-1073871106","0","Target","8","2.5","4","3","15","60","1","50","0"
"51","0","50","2.5","Surround","10000","12.6615","2235","5625","5646","9993","-1266481649","0","Target","8","2.5","4","3","15","60","1","50","0"
"50","0","50","2","Surround","10000","18.0475","1757","5567","-1","-1","1809172051","0","Target","8","2","4","3","15","60","1","50","0"
"56","0","50","3","Surround","10000","9.967","5614","5643","-1","-1","-992060793","0","Target","8","3","4","3","15","60","1","50","0"
"49","0","50","2","Surround","10000","8.15575","2039","-1","-1","-1","-1572054377","0","Target","8","2","4","3","15","60","1","50","0"
"55","0","50","2.5","Surround","10000","5.42825","6689","-1","-1","-1","-2142896392","0","Target","8","2.5","4","3","15","60","1","50","0"
"53","0","50","2.5","Surround","10000","3.3487499999999994","9165","-1","-1","-1","-385725934","0","Target","8","2.5","4","3","15","60","1","50","0"
"57","0","50","3","Surround","10000","13.615750000000002","4879","5014","5121","5135","-1547240261","0","Target","8","3","4","3","15","60","1","50","0"
"54","0","50","2.5","Surround","10000","31.5595","3335","3370","3390","3400","-960206083","0","Target","8","2.5","4","3","15","60","1","50","0"
"59","0","50","3","Surround","10000","5.33375","6042","-1","-1","-1","457471261","0","Target","8","3","4","3","15","60","1","50","0"
"58","0","50","3","Surround","10000","3.1675","1893","-1","-1","-1","735875465","0","Target","8","3","4","3","15","60","1","50","0"
"60","0","50","3","Surround","10000","6.24375","-1","-1","-1","-1","1406764138","0","Target","8","3","4","3","15","60","1","50","0"
"61","0","50","3.5","Surround","10000","2.84825","1419","1548","-1","-1","-1975298703","0","Target","8","3.5","4","3","15","60","1","50","0"
"62","0","50","3.5","Surround","10000","5.6615","9284","9590","-1","-1","1109384472","0","Target","8","3.5","4","3","15","60","1","50","0"
"65","0","50","3.5","Surround","10000","11.84025","7259","7291","7307","7311","-1519139522","0","Target","8","3.5","4","3","15","60","1","50","0"
"64","0","50","3.5","Surround","10000","19.37375","968","8266","8279","8286","1590462849","0","Target","8","3.5","4","3","15","60","1","50","0"
"69","0","50","4","Surround","10000","8.551","7650","-1","-1","-1","-5112810","0","Target","8","4","4","3","15","60","1","50","0"
"63","0","50","3.5","Surround","10000","27.778","4752","4834","4977","4995","322752729","0","Target","8","3.5","4","3","15","60","1","50","0"
"67","0","50","4","Surround","10000","0.43674999999999997","795","-1","-1","-1","1056172150","0","Target","8","4","4","3","15","60","1","50","0"
"68","0","50","4","Surround","10000","31.5625","1984","2012","2291","2296","1632329151","0","Target","8","4","4","3","15","60","1","50","0"
"66","0","50","4","Surround","10000","28.354000000000003","1884","6770","6802","6814","-148959481","0","Target","8","4","4","3","15","60","1","50","0"
"70","0","50","4","Surround","10000","12.876499999999998","2222","4702","4784","4804","746368133","0","Target","8","4","4","3","15","60","1","50","0"
"71","0","100","1","Surround","10000","10.96575","3159","-1","-1","-1","-478902719","0","Target","8","1","4","3","15","60","1","50","0"
