"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-best-dog-number-surround"
"02/11/2026 18:46:58:527 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"46","0","100","1.4","Surround","10000","4.528125","-1","-1","-1","-1","1590920717","0","Target","8","1.4","4","3","15","60","1","50","0"
"45","0","100","1.4","Surround","10000","0.810625","-1","-1","-1","-1","1912408995","0","Target","8","1.4","4","3","15","60","1","50","0"
"47","0","100","1.4","Surround","10000","9.876875","5676","-1","-1","-1","1217733595","0","Target","8","1.4","4","3","15","60","1","50","0"
"48","0","100","1.4","Surround","10000","5.196375","-1","-1","-1","-1","-1118684522","0","Target","8","1.4","4","3","15","60","1","50","0"
"51","0","100","1.7","Surround","10000","12.878375","1342","-1","-1","-1","1645278456","0","Target","8","1.7","4","3","15","60","1","50","0"
"49","0","100","1.4","Surround","10000","5.0685","4657","-1","-1","-1","1952694328","0","Target","8","1.4","4","3","15","60","1","50","0"
"50","0","100","1.4","Surround","10000","8.52925","1951","-1","-1","-1","-1369631008","0","Target","8","1.4","4","3","15","60","1","50","0"
"52","0","100","1.7","Surround","10000","23.10725","1963","-1","-1","-1","-1547592772","0","Target","8","1.7","4","3","15","60","1","50","0"
"53","0","100","1.7","Surround","10000","17.02625","3357","-1","-1","-1","1108226775","0","Target","8","1.7","4","3","15","60","1","50","0"
"54","0","100","1.7","Surround","10000","26.361875","6640","7358","7567","-1","1015029754","0","Target","8","1.7","4","3","15","60","1","50","0"
"55","0","100","1.7","Surround","10000","29.631250000000005","1438","7749","9326","9330","-902425993","0","Target","8","1.7","4","3","15","60","1","50","0"
"56","0","100","1.7","Surround","10000","5.301125","-1","-1","-1","-1","-1564548461","0","Target","8","1.7","4","3","15","60","1","50","0"
"57","0","100","1.7","Surround","10000","6.268749999999999","-1","-1","-1","-1","1341018677","0","Target","8","1.7","4","3","15","60","1","50","0"
"59","0","100","1.7","Surround","10000","7.231499999999999","4228","-1","-1","-1","795625879","0","Target","8","1.7","4","3","15","60","1","50","0"
"58","0","100","1.7","Surround","10000","2.957","-1","-1","-1","-1","-1262526197","0","Target","8","1.7","4","3","15","60","1","50","0"
"60","0","100","1.7","Surround","10000","1.073125","-1","-1","-1","-1","-1613858795","0","Target","8","1.7","4","3","15","60","1","50","0"
"63","0","100","2","Surround","10000","10.42825","2978","-1","-1","-1","-39409829","0","Target","8","2","4","3","15","60","1","50","0"
"61","0","100","2","Surround","10000","14.191625","1358","-1","-1","-1","-742096149","0","Target","8","2","4","3","15","60","1","50","0"
"62","0","100","2","Surround","10000","4.351","1119","-1","-1","-1","2045832855","0","Target","8","2","4","3","15","60","1","50","0"
"64","0","100","2","Surround","10000","6.553875","-1","-1","-1","-1","-2073015569","0","Target","8","2","4","3","15","60","1","50","0"
"68","0","100","2","Surround","10000","3.6693749999999996","-1","-1","-1","-1","-1249762723","0","Target","8","2","4","3","15","60","1","50","0"
"65","0","100","2","Surround","10000","6.775375","6304","6895","6926","-1","1504374665","0","Target","8","2","4","3","15","60","1","50","0"
"66","0","100","2","Surround","10000","23.135","7119","7248","7921","7924","304831646","0","Target","8","2","4","3","15","60","1","50","0"
"67","0","100","2","Surround","10000","29.769624999999998","4179","5485","5518","5535","2047241812","0","Target","8","2","4","3","15","60","1","50","0"
"69","0","100","2","Surround","10000","5.652375","7817","-1","-1","-1","-1789008629","0","Target","8","2","4","3","15","60","1","50","0"
"70","0","100","2","Surround","10000","1.4145","-1","-1","-1","-1","-1683405909","0","Target","8","2","4","3","15","60","1","50","0"
"71","0","100","2.5","Surround","10000","7.270250000000001","-1","-1","-1","-1","1085276539","0","Target","8","2.5","4","3","15","60","1","50","0"
"72","0","100","2.5","Surround","10000","22.49275","1235","2945","2966","-1","2131340735","0","Target","8","2.5","4","3","15","60","1","50","0"
"73","0","100","2.5","Surround","10000","49.89775","3842","4127","8188","8344","538982515","0","Target","8","2.5","4","3","15","60","1","50","0"
"75","0","100","2.5","Surround","10000","7.00675","9845","-1","-1","-1","-830507587","0","Target","8","2.5","4","3","15","60","1","50","0"
"74","0","100","2.5","Surround","10000","0.841875","-1","-1","-1","-1","-2032375023","0","Target","8","2.5","4","3","15","60","1","50","0"
"76","0","100","2.5","Surround","10000","9.739375","5171","-1","-1","-1","710881753","0","Target","8","2.5","4","3","15","60","1","50","0"
"79","0","100","2.5","Surround","10000","3.530125","1266","-1","-1","-1","-856302005","0","Target","8","2.5","4","3","15","60","1","50","0"
"77","0","100","2.5","Surround","10000","6.9215","3542","-1","-1","-1","-512460817","0","Target","8","2.5","4","3","15","60","1","50","0"
"78","0","100","2.5","Surround","10000","7.8295","3388","-1","-1","-1","-519934561","0","Target","8","2.5","4","3","15","60","1","50","0"
